	Unnamed: 0	id_spatial	Long	Lat	Island	Coral	CCA	Turf	Macro	Other	Grazers	Scrapers	Browsers	Predators	Secondary	Effluent	Sedimentation	New_Development	Habitat_Modification	Invasive_Algae	Fishing_Comm_Total	Fishing_NonComm_Boat_Total	Fishing_NonComm_Shore_Line	Fishing_NonComm_Shore_Net	Fishing_NonComm_Shore_Spear	SST_CLIM_M	SST_STD	CHL_CLIM_M	CHL_ANOM_F	PAR_CLIM_M	PAR_STD	WAV_CLIM_M	WAV_ANOM_F	Complexity	Depth	Regime	Regime1	Regime2	Regime3	Regime5	sqrt_power_x_compexity	log_power_over_depth	complexity_over_depth	Irradiance_x_inv_algae	both_anomolies
0	195	347	-156,4550366	20,71803923	Maui	73,15436240000002	1,677852381	24,83221478	0,0	0,0	3,15659383	7,064365864	0,58822443	1,616522546	9,546467069	3848,0131840000004	0,4400537000000001	0,0403932	0	0	0,5037156	0,38140440000000003	0,0	0,0	1,6011778	27,669	0,92648	0,08812999699999999	0,009881423	50,99010086	8,615799904	1,032567	0,172181	0,0	14,8	3	0	0	1	0	1,0161530396549527	-2,6625792459811892	0,06756756756756756	0,0	0,0017013932935630001
1	400	670	-155,8825439	19,03824422	Hawaii	47,11954416	7,054446382999999	22,056660600000004	5,474738447999999	17,8929975	10,02859731	1,207398754	4,700472892	11,60562618	42,15626534	0,0	0,0	0,10332899999999999	0	0	0,0650845	0,0522645	0,7279809	0,0	0,9595389000000001	27,468000000000004	0,832134	0,076700002	0,039500002	38,26979828	7,421000004	22,22523117	0,058708000999999996	7,2064677779999995	15,0	5	0	0	0	1	13,505208012289417	0,39317798159349576	0,5470978518666667	0,0	0,002318966156916002
2	580	953	-157,8222156	21,25926083	Oahu	2,0	0,0	98,0	0,0	0,0	1,4630971190000002	0,0	0,0	0,0	5,052118534	6539,5	0,0	0,03401919999999998	1	1	0,3508142	2,9932152999999997	0,0	3,3990192	2,2738612000000002	27,451999999999998	0,9274700000000001	0,10980000300000001	0,098800004	55,79970169	9,481900215	5,673212051	0,167545006	5,5055	2,4384	1	1	0	0	0	6,075119834026363	0,8444133701238528	2,667937992125984	55,79970169	0,016553447262980022
3	135	236	-156,6934033	20,95071423	Maui	38,53050328	8,522271084	33,53693159	3,526198033	15,53937316	7,474489801	14,30651227	5,168933355	2,902073449	18,49351297	466,8545227	52,27341699	0,07822735900000001	1	1	0,040849300000000005	0,540058735	7,368951719	2,492665071	2,0135895280000002	26,936	0,8936649999999999	0,1285	0,106700003	54,86090088	9,352600098	4,619102001	0,138462007	12,15924534	6,096	5	0	0	0	1	7,796402791136686	-0,27743250426132027	2,1586688549868764	54,86090088	0,014773896562286021
4	346	564	-155,9264905	19,85794772	Hawaii	49,60069308	12,60749905	35,72528883	0,0	1,349511665	4,2208586760000015	6,2156554889999995	0,39006841	0,452039759	20,86118914	778,0908814	0,0	0,0022677	0	0	0,0665927	0,2568725	0,0	3,0096967	7,35612225	27,415	0,8566370000000001	0,091600001	0,17000000199999998	54,06439972	8,343099594	6,496282101	0,054598997999999996	3,9957700189999996	3,3528	3	0	0	1	0	5,696835205194383	0,6614342111658115	1,4900292349677882	0,0	0,009281829769197994
5	447	746	-160,1318522	21,97069962	Niihau	2,360544232	1,346938791	76,65986388	13,17687078	5,782312895	25,52082198	28,10658214	14,84053043	40,27196731	27,13287244	0,0	0,0	3,9e-06	0	0	0,1202122	0,005603899999999999	0,0	0,0	0,0	27,087	1,14685	0,07980000200000001	0,112599999	53,97180176	9,302599907000001	48,617172	0,082613	12,20920898415691	18,0	2	0	1	0	0	25,34155451361857	0,9936050439360945	0,7338449435642728	0,0	0,009302223717387
6	113	181	-156,85433030000004	21,166963	Molokai	0,668896354	0,668896354	98,32775916	0,334448127	0,0	2,849225057	0,0	0,8390319759999999	0,0	17,91625487	0,0	2,3816242	1,27e-05	0	0	0,0079788	0,1255907	0,0	0,0	0,008470700000000001	26,548000000000002	0,91145	0,11159999699999999	0,051399997999999995	54,08169937	9,546699524	77,15422058	0,074394003	12,657230620667622	11,6	1	1	0	0	0	32,460945516403555	1,894801185357361	1,177347467298933	0,0	0,0038238516054119936
7	199	362	-156,4473299	20,64284184	Maui	48,8	0,0	43,2	0,0	8,0	1,960811459	1,7435925230000002	0,0	0,8127356840000001	4,1644204689999995	5672,989746	0,0	0,12526279999999998	0	0	0,5037156	0,3186294	10,029883400000001	5,4284706	2,0968001	27,16900063	0,8826239709999999	0,08915428800000001	0,027667984	44,77600098	7,533445835	2,185935974	0,176817998	6,340489165	1,61544	3	0	0	1	0	4,005725818441737	0,30243673482444783	4,543956547442183	0,0	0,004892197539576032
8	615	1018	-157,6882531	21,26994292	Oahu	11,6	14,0	61,2	0,0	7,6	18,10598155	6,485280605	6,938507914	2,5321190430000002	49,94442439	169,7652893	0,0	0,009128399999999998	0	1	0,29174429999999996	2,3189740000000003	12,580160099999999	0,0	2,1839272999999997	27,135	1,0006030000000001	0,090899996	0,138300002	54,796199800000004	9,286000252000001	12,25632	0,2349839960000001	24,8531	9,7536	3	0	0	1	0	17,800670397263133	0,2284052746878779	2,650621309055118	54,796199800000004	0,032498287116768006
9	569	936	-157,828171	21,25566165	Oahu	0,0	0,0	59,6	7,6	32,8	0,730194747	0,0	0,0	0,0	6,3014258839999995	4385,603027	0,0	0,0059346	0	0	0,3508142	3,0001900000000004	0,0	0,0	1,4349848	27,451999999999998	0,9274700000000001	0,10980000300000001	0,098800004	55,79970169	9,481900215	6,108092	0,164384	3,23866	17,0688	1	1	0	0	0	5,08823399979993	-1,0276377861090609	0,24832794338207723	0,0	0,016241139857536
